"Timing_corner","TestType","Spec_name","Value","Suite name","Test name"
"LED_TET160_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_TET160_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"LED_TET160_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_TET160_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"LED_TET160_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_USB_ASVMAX_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
