"GroupName","InstName","CTLR","Chain","FROM","RowStart","ColStart","RowStop","ColStop","RowSize","InstBits","MemIndex","PreRead","ECC","Protect","Repair","BitMask","BitOrder","InstData","FT_ROM_CODE","Suite name","Test name"
"TITechnology","","1","","","","","","","","","","","","","","","","SR80",""
"TIRedundantRows","","1","","","","","","","","","","","","","","","","4",""
"FF_Read_Mg1","","1","","","","","","","","","","","","","","","","Read_Norm_MPB,efuse_Read_Program",""
"FF_Read_Mg1a","","1","","","","","","","","","","","","","","","","Read_Norm_MPB,efuse_Read_Program",""
"FF_Read_Norm","","1","","","","","","","","","","","","","","","","Read_Norm_MPB,efuse_Read_Program",""
"FF_Program_Mg1","","1","","","","","","","","","","","","","","","","Program_Mg1A_MPB,efuse_Read_Program",""
"FF_Program_Mg1a","","1","","","","","","","","","","","","","","","","Program_Mg1A_MPB,efuse_Read_Program",""
"","TIRepairRow","1","","0","0","0","0","24","25","25","","","","","","","","",""
"","TIRepairRow","1","","0","1","0","1","24","25","25","","","","","","","","",""
"","TIRepairRow","1","","0","2","0","2","24","25","25","","","","","","","","",""
"","TIRepairRow","1","","0","3","0","3","24","25","25","","","","","","","","",""
"","TIFuseChainAddr","1","","0","4","0","4","12","25","13","","2","","","","","","0b0000000001000",""
"","TIFuseChainAddr","1","","0","5","0","5","12","25","13","","2","","","","","","0b0000100000100",""
"","TIFuseChainAddr","1","","0","6","0","6","12","25","13","","2","","","","","","0b0001000000100",""
"","TIFuseChainAddr","1","","0","7","0","7","12","25","13","","2","","","","","","0b0001110000100",""
"","TIDieID","1","0","0","8","0","13","2","25","128","","","","0","","","","",""
"","Padding_DieID","1","0","0","13","3","13","24","25","22","","","","","","","","",""
"","SEC_DTYPE","1","0","0","14","0","14","7","25","8","","","","","","","","",""
"","Secure_Reserved","1","0","0","14","8","15","24","25","42","","","","","","","","",""
"","SEC_KEK","1","0","0","16","0","26","5","25","256","","","","","","","","",""
"","Padding_KEK","1","0","0","26","6","26","24","25","19","","","","","","","","",""
"","SEC_MPK","1","0","0","27","0","37","5","25","256","","","","","","","","",""
"","Padding_MPK","1","0","0","37","6","37","24","25","19","","","","","","","","",""
"","SEC_CHKSUM_KEK","1","0","0","38","0","38","15","25","16","","","","","","","","",""
"","SEC_CHKSUM_RESERVED","1","0","0","38","16","39","6","25","16","","","","","","","","",""
"","SEC_CHKSUM_MPK","1","0","0","39","7","40","13","25","32","","","","","","","","",""
"","SEC_ROMSIZE","1","0","0","40","14","40","19","25","6","","","","","","","","",""
"","SEC_ROMOFFSET","1","0","0","40","20","40","23","25","4","","","","","","","","",""
"","SEC_ARMOFFSET","1","0","0","40","24","41","2","25","4","","","","","","","","",""
"","EF_Reserved0_A","1","0","0","41","3","41","6","25","4","","","","","","","","",""
"","DEVSPEED","1","0","0","41","7","41","18","25","12","","","","","","","","",""
"","EF_Reserved0_B","1","0","0","41","19","41","22","25","4","","","","","","","","",""
"","ARMSPEED","1","0","0","41","23","42","9","25","12","","","","","","","","",""
"","EF_Reserved1","1","0","0","42","10","43","16","25","32","","","","","","","","",""
"","EF_Reserved2_A","1","0","0","43","17","43","20","25","4","","","","","","","","",""
"","DEVSPEED2","1","0","0","43","21","44","7","25","12","","","","","","","","",""
"","EF_Reserved2_B","1","0","0","44","8","44","11","25","4","","","","","","","","",""
"","ARMSPEED2","1","0","0","44","12","44","23","25","12","","","","","","","","",""
"","EMACID_INFO","1","0","0","44","24","47","12","25","64","","","","","","","","",""
"","SEC_CHKSUM0","1","0","0","47","13","48","19","25","32","","","","","","","","",""
"","SEC_CHKSUM1","1","0","0","48","20","50","1","25","32","","","","","","","","",""
"","EF_TDIODE","1","0","0","50","2","51","8","25","32","","","","","","","","",""
"","EF_RM0_MSMC","1","0","0","52","5","52","5","25","1","","","","","","","","",""
"","EF_RM1_MSMC","1","0","0","53","4","53","4","25","1","","","","","","","","",""
"","EF_RM2_MSMC","1","0","0","54","3","54","3","25","1","","","","","","","","",""
"","EF_RM3_MSMC","1","0","0","55","2","55","2","25","1","","","","","","","","",""
"","EF_GEM_RTA_BC1","1","0","0","55","5","55","5","25","1","","","","","","","","",""
"","EF_GEM_RTA_BC2","1","0","0","55","6","55","6","25","1","","","","","","","","",""
"","EF_MSMC_RTA_BC1","1","0","0","55","7","55","7","25","1","","","","","","","","",""
"","EF_MSMC_RTA_BC2","1","0","0","55","8","55","8","25","1","","","","","","","","",""
"","EF_TETRIS_RTA_BC1","1","0","0","55","9","55","9","25","1","","","","","","","","",""
"","EF_TETRIS_RTA_BC2","1","0","0","55","10","55","10","25","1","","","","","","","","",""
"","EF_RF1_RTA_BC1","1","0","0","55","11","55","11","25","1","","","","","","","","",""
"","EF_RF1_RTA_BC2","1","0","0","55","12","55","12","25","1","","","","","","","","",""
"","EF_RF2_RTA_BC1","1","0","0","55","13","55","13","25","1","","","","","","","","",""
"","EF_RF2_RTA_BC2","1","0","0","55","14","55","14","25","1","","","","","","","","",""
"","EF_SPARE_RTA_BC","1","0","0","55","15","55","16","25","2","","","","","","","","",""
"","SEC_CRYPTO","1","0","0","55","17","55","17","25","1","","","","","","","","",""
"","EF_PSC_OVRIDE","1","0","0","55","18","55","18","25","1","","","","","","","","",""
"","EF_PDC_RAMSLEEP","1","0","0","55","19","55","20","25","2","","","","","","","","",""
"","TMON1_FUSEOFFSET","1","0","0","55","21","56","5","25","10","","","","","","","","",""
"","TMON1_FUSECYC","1","0","0","56","6","56","16","25","11","","","","","","","","",""
"","TMON0_FUSEOFFSET","1","0","0","56","17","57","1","25","10","","","","","","","","",""
"","TMON0_FUSECYC","1","0","0","57","2","57","12","25","11","","","","","","","","",""
"","TMON_THPT_CONFIG","1","0","0","57","13","58","23","25","36","","","","","","","","",""
"","EF_1500_DISABLE","1","0","0","58","24","58","24","25","1","","","","","","","","",""
"","ARM_SRCLASS0","1","0","0","59","0","60","6","25","32","","","","","","","","",""
"","ARM_SRC3_SEN0_OPP0","1","0","0","60","7","61","13","25","32","","","","","","","","",""
"","ARM_SRC3_SEN0_OPP1","1","0","0","61","14","62","20","25","32","","","","","","","","",""
"","ARM_SRC3_SEN0_OPP2","1","0","0","62","21","64","2","25","32","","","","","","","","",""
"","ARM_SRC3_SEN0_OPP3","1","0","0","64","3","65","9","25","32","","","","","","","","",""
"","ARM_SRC3_SEN1_OPP0","1","0","0","65","10","66","16","25","32","","","","","","","","",""
"","ARM_SRC3_SEN1_OPP1","1","0","0","66","17","67","23","25","32","","","","","","","","",""
"","ARM_SRC3_SEN1_OPP2","1","0","0","67","24","69","5","25","32","","","","","","","","",""
"","ARM_SRC3_SEN1_OPP3","1","0","0","69","6","70","12","25","32","","","","","","","","",""
"","ARM_SRC3_SEN2_OPP0","1","0","0","70","13","71","19","25","32","","","","","","","","",""
"","ARM_SRC3_SEN2_OPP1","1","0","0","71","20","73","1","25","32","","","","","","","","",""
"","ARM_SRC3_SEN2_OPP2","1","0","0","73","2","74","8","25","32","","","","","","","","",""
"","ARM_SRC3_SEN2_OPP3","1","0","0","74","9","75","15","25","32","","","","","","","","",""
"","ARM_SRC3_SEN3_OPP0","1","0","0","75","16","76","22","25","32","","","","","","","","",""
"","ARM_SRC3_SEN3_OPP1","1","0","0","76","23","78","4","25","32","","","","","","","","",""
"","ARM_SRC3_SEN3_OPP2","1","0","0","78","5","79","11","25","32","","","","","","","","",""
"","ARM_SRC3_SEN3_OPP3","1","0","0","79","12","80","18","25","32","","","","","","","","",""
"","SOC_SRCLASS0","1","0","0","80","19","82","0","25","32","","","","","","","","",""
"","SOC_SRC3_SEN0_OPP0","1","0","0","82","1","83","7","25","32","","","","","","","","",""
"","SOC_SRC3_SEN0_OPP1","1","0","0","83","8","84","14","25","32","","","","","","","","",""
"","SOC_SRC3_SEN0_OPP2","1","0","0","84","15","85","21","25","32","","","","","","","","",""
"","SOC_SRC3_SEN0_OPP3","1","0","0","85","22","87","3","25","32","","","","","","","","",""
"","SOC_SRC3_SEN1_OPP0","1","0","0","87","4","88","10","25","32","","","","","","","","",""
"","SOC_SRC3_SEN1_OPP1","1","0","0","88","11","89","17","25","32","","","","","","","","",""
"","SOC_SRC3_SEN1_OPP2","1","0","0","89","18","90","24","25","32","","","","","","","","",""
"","SOC_SRC3_SEN1_OPP3","1","0","0","91","0","92","6","25","32","","","","","","","","",""
"","SOC_SRC3_SEN2_OPP0","1","0","0","92","7","93","13","25","32","","","","","","","","",""
"","SOC_SRC3_SEN2_OPP1","1","0","0","93","14","94","20","25","32","","","","","","","","",""
"","SOC_SRC3_SEN2_OPP2","1","0","0","94","21","96","2","25","32","","","","","","","","",""
